	Gene	Description
PGRC1	PGRMC1	Membrane-associated progesterone receptor component 1
EDIL3	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3
TECTA	TECTA	Alpha-tectorin
STAM2	STAM2	Signal transducing adapter molecule 2
TRPM2	TRPM2	Transient receptor potential cation channel subfamily M member 2
ECM2	ECM2	Extracellular matrix protein 2
ACBP	DBI	Acyl-CoA-binding protein
LIPC	LIPC	Hepatic triacylglycerol lipase
CADH1	CDH1	Cadherin-1
LAMP2	LAMP2	Lysosome-associated membrane glycoprotein 2
DNLI1	LIG1	DNA ligase 1
NEBU	NEB	Nebulin
IVD	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial
STX2	STX2	Syntaxin-2
SFTPD	SFTPD	Pulmonary surfactant-associated protein D
ADH7	ADH7	All-trans-retinol dehydrogenase [NAD(+)] ADH7
GSH1	GCLC	Glutamate--cysteine ligase catalytic subunit
UB2R1	CDC34	Ubiquitin-conjugating enzyme E2 R1
RGS4	RGS4	Regulator of G-protein signaling 4
ADPRH	ADPRH	[Protein ADP-ribosylarginine] hydrolase
SESN2	SESN2	Sestrin-2
T2R38	TAS2R38	Taste receptor type 2 member 38
T2R41	TAS2R41	Taste receptor type 2 member 41
TUSC3	TUSC3	Tumor suppressor candidate 3
KGP1	PRKG1	cGMP-dependent protein kinase 1
SELPL	SELPLG	P-selectin glycoprotein ligand 1
TAF1C	TAF1C	TATA box-binding protein-associated factor RNA polymerase I subunit C
ZN239	ZNF239	Zinc finger protein 239
DGUOK	DGUOK	Deoxyguanosine kinase, mitochondrial
MP17L	MPV17L	Mpv17-like protein
TBB8	TUBB8	Tubulin beta-8 chain
SGO1	SGO1	Shugoshin 1
RNS12	RNASE12	Probable inactive ribonuclease-like protein 12
EPHAA	EPHA10	Ephrin type-A receptor 10
LIN9	LIN9	Protein lin-9 homolog
MCAF2	ATF7IP2	Activating transcription factor 7-interacting protein 2
OTU1	YOD1	Ubiquitin thioesterase OTU1
FCRLB	FCRLB	Fc receptor-like B
OR4F3	OR4F29	Olfactory receptor 4F3/4F16/4F29
CRCDL	CRACDL	CRACD-like protein
TM154	TMEM154	Transmembrane protein 154
I17EL	IL17REL	Putative interleukin-17 receptor E-like
ARMX2	ARMCX2	Armadillo repeat-containing X-linked protein 2
WDR86	WDR86	WD repeat-containing protein 86
MARH3	MARCHF3	E3 ubiquitin-protein ligase MARCHF3
INLR1	IFNLR1	Interferon lambda receptor 1
PARP9	PARP9	Protein mono-ADP-ribosyltransferase PARP9
DMRTD	DMRTC2	Doublesex- and mab-3-related transcription factor C2
S38A6	SLC38A6	Probable sodium-coupled neutral amino acid transporter 6
AL14E	ARL14EP	ARL14 effector protein
PRS33	PRSS33	Serine protease 33
OR2M7	OR2M7	Olfactory receptor 2M7
OR4B1	OR4B1	Olfactory receptor 4B1
O51Q1	OR51Q1	Olfactory receptor 51Q1
CLDN2	CLDND2	Claudin domain-containing protein 2
PP14C	PPP1R14C	Protein phosphatase 1 regulatory subunit 14C
NMD3A	GRIN3A	Glutamate receptor ionotropic, NMDA 3A
HPSE2	HPSE2	Inactive heparanase-2
PDPFL	PPDPFL	Pancreatic progenitor cell differentiation and proliferation factor-like protein
MYLIP	MYLIP	E3 ubiquitin-protein ligase MYLIP
THAP4	THAP4	Peroxynitrite isomerase THAP4
TENR	TNR	Tenascin-R
ESAM	ESAM	Endothelial cell-selective adhesion molecule
SDSL	SDSL	Serine dehydratase-like
TRM2	TRMT2B	tRNA (uracil(54)-C(5))-methyltransferase homolog
ZN578	ZNF578	Zinc finger protein 578
Z385A	ZNF385A	Zinc finger protein 385A
OSBL9	OSBPL9	Oxysterol-binding protein-related protein 9
ROAA	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B
TM9S2	TM9SF2	Transmembrane 9 superfamily member 2
DPH2	DPH2	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2
DCNL5	DCUN1D5	DCN1-like protein 5
IMUP	IMUP	Immortalization up-regulated protein
SRMS	SRMS	Tyrosine-protein kinase Srms
CHM4B	CHMP4B	Charged multivesicular body protein 4b
ARMC7	ARMC7	Armadillo repeat-containing protein 7
NOL6	NOL6	Nucleolar protein 6
SEBOX	SEBOX	Homeobox protein SEBOX
SYTL2	SYTL2	Synaptotagmin-like protein 2
TM9S3	TM9SF3	Transmembrane 9 superfamily member 3
DAZ1	DAZ1	Deleted in azoospermia protein 1
SIR7	SIRT7	NAD-dependent protein deacetylase sirtuin-7
RHG35	ARHGAP35	Rho GTPase-activating protein 35
RIC8B	RIC8B	Synembryn-B
S52A1	SLC52A1	Solute carrier family 52, riboflavin transporter, member 1
PCD10	PCDH10	Protocadherin-10
ZN580	ZNF580	Zinc finger protein 580
OGDHL	OGDHL	2-oxoglutarate dehydrogenase-like, mitochondrial
LZTS1	LZTS1	Leucine zipper putative tumor suppressor 1
AP4S1	AP4S1	AP-4 complex subunit sigma-1
SNCAP	SNCAIP	Synphilin-1
A0A075B708	TRAJ61	T cell receptor alpha joining 61 (non-functional) (Fragment)
A0A075B713	TRAJ1	T cell receptor alpha joining 1 (non-functional) (Fragment)
TVA17	TRAV17	T cell receptor alpha variable 17
F168B	FAM168B	Myelin-associated neurite-outgrowth inhibitor
F187A	FAM187A	Ig-like V-type domain-containing protein FAM187A
TRI64	TRIM64	Tripartite motif-containing protein 64
MANS4	MANSC4	MANSC domain-containing protein 4
CU037	LINC01549	Putative uncharacterized protein encoded by LINC01549
F170B	FAM170B	Protein FAM170B
EFCB8	EFCAB8	EF-hand calcium-binding domain-containing protein 8
GGTL3	GGTLC3	Putative glutathione hydrolase light chain 3
ZN195	ZNF195	Zinc finger protein 195
CLGN	CLGN	Calmegin
PER2	PER2	Period circadian protein homolog 2
PJA2	PJA2	E3 ubiquitin-protein ligase Praja-2
OR2T1	OR2T1	Olfactory receptor 2T1
NDUB1	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1
TAD2A	TADA2A	Transcriptional adapter 2-alpha
CMC1	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1
P3C2G	PIK3C2G	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma
STR3N	STARD3NL	STARD3 N-terminal-like protein
HAND1	HAND1	Heart- and neural crest derivatives-expressed protein 1
B3AT	SLC4A1	Band 3 anion transport protein
CFAI	CFI	Complement factor I
SRP19	SRP19	Signal recognition particle 19 kDa protein
COX41	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial
ENOB	ENO3	Beta-enolase
CREB1	CREB1	Cyclic AMP-responsive element-binding protein 1
PTN2	PTPN2	Tyrosine-protein phosphatase non-receptor type 2
RAB6A	RAB6A	Ras-related protein Rab-6A
DMA	HLA-DMA	HLA class II histocompatibility antigen, DM alpha chain
MC4R	MC4R	Melanocortin receptor 4
CDN2B	CDKN2B	Cyclin-dependent kinase 4 inhibitor B
ARSF	ARSF	Arylsulfatase F
CDN2D	CDKN2D	Cyclin-dependent kinase 4 inhibitor D
KR109	KRTAP10-9	Keratin-associated protein 10-9
RELN	RELN	Reelin
SKOR1	SKOR1	SKI family transcriptional corepressor 1
GABPA	GABPA	GA-binding protein alpha chain
MGAT2	MGAT2	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
TEF	TEF	Thyrotroph embryonic factor
ELAV2	ELAVL2	ELAV-like protein 2
BFSP1	BFSP1	Filensin
SP140	SP140	Nuclear body protein SP140
CASL	NEDD9	Enhancer of filamentation 1
OR1Q1	OR1Q1	Olfactory receptor 1Q1
WHAL1	WHAMMP3	Putative WASP homolog-associated protein with actin, membranes and microtubules-like protein 1
CE064	C5orf64	Uncharacterized protein C5orf64
ABCB5	ABCB5	ATP-binding cassette sub-family B member 5
PWP3A	PWWP3A	PWWP domain-containing DNA repair factor 3A
F106A	FAM106A	Protein FAM106A
ARI4B	ARID4B	AT-rich interactive domain-containing protein 4B
CA200	PIK3CD-AS1	Putative uncharacterized protein PIK3CD-AS1
MYOM3	MYOM3	Myomesin-3
NTM2G	NUTM2G	NUT family member 2G
KR511	KRTAP5-11	Keratin-associated protein 5-11
FAH2B	FAHD2B	Fumarylacetoacetate hydrolase domain-containing protein 2B
GSG1L	GSG1L	Germ cell-specific gene 1-like protein
TM11A	TMPRSS11A	Transmembrane protease serine 11A
RHG36	ARHGAP36	Rho GTPase-activating protein 36
LRC55	LRRC55	Leucine-rich repeat-containing protein 55
C2G1P	CYP2G1P	Putative inactive cytochrome P450 2G1
DCXR	DCXR	L-xylulose reductase
OSTB	SLC51B	Organic solute transporter subunit beta
CASZ1	CASZ1	Zinc finger protein castor homolog 1
SCUB1	SCUBE1	Signal peptide, CUB and EGF-like domain-containing protein 1
ASCC3	ASCC3	Activating signal cointegrator 1 complex subunit 3
S2545	SLC25A45	Solute carrier family 25 member 45
CB052	LINC00471	Putative uncharacterized protein encoded by LINC00471
IPMK	IPMK	Inositol polyphosphate multikinase
OR8G5	OR8G5	Olfactory receptor 8G5
OR1J1	OR1J1	Olfactory receptor 1J1
CABL1	CABLES1	CDK5 and ABL1 enzyme substrate 1
GAB3	GAB3	GRB2-associated-binding protein 3
LCN9	LCN9	Epididymal-specific lipocalin-9
DPF1	DPF1	Zinc finger protein neuro-d4
FGF14	FGF14	Fibroblast growth factor 14
SPTSA	SPTSSA	Serine palmitoyltransferase small subunit A
GBP4	GBP4	Guanylate-binding protein 4
HS3S6	HS3ST6	Heparan sulfate glucosamine 3-O-sulfotransferase 6
KR412	KRTAP4-12	Keratin-associated protein 4-12
LSMD1	NAA38	N-alpha-acetyltransferase 38, NatC auxiliary subunit
INP5K	INPP5K	Inositol polyphosphate 5-phosphatase K
WAC	WAC	WW domain-containing adapter protein with coiled-coil
SCOT2	OXCT2	Succinyl-CoA:3-ketoacid coenzyme A transferase 2, mitochondrial
SPR2G	SPRR2G	Small proline-rich protein 2G
LSG1	LSG1	Large subunit GTPase 1 homolog
CF208	LINC00574	Putative uncharacterized protein LINC00574
FGF22	FGF22	Fibroblast growth factor 22
ASIC5	ASIC5	Acid-sensing ion channel 5
SELN	SELENON	Selenoprotein N
CCD39	CCDC39	Coiled-coil domain-containing protein 39
PADI2	PADI2	Protein-arginine deiminase type-2
2ABG	PPP2R2C	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform
CDIN1	CDIN1	CDAN1-interacting nuclease 1
KLK5	KLK5	Kallikrein-5
PCDGA	PCDHGA10	Protocadherin gamma-A10
WIF1	WIF1	Wnt inhibitory factor 1
PTC2	PTCH2	Protein patched homolog 2
USH1C	USH1C	Harmonin
UH1BL	UHRF1BP1L	UHRF1-binding protein 1-like
ZSA5B	ZSCAN5B	Zinc finger and SCAN domain-containing protein 5B
F74A7	FAM74A7	Protein FAM74A7
CAN14	CAPN14	Calpain-14
TR49D	TRIM49D2	Tripartite motif-containing protein 49D
STMD1	STMND1	Stathmin domain-containing protein 1
RHOD	RHOD	Rho-related GTP-binding protein RhoD
DLGP1	DLGAP1	Disks large-associated protein 1
G3PT	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific
MOT5	SLC16A4	Monocarboxylate transporter 5
MEGF6	MEGF6	Multiple epidermal growth factor-like domains protein 6
KBL	GCAT	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial
NPT2B	SLC34A2	Sodium-dependent phosphate transport protein 2B
PPR3D	PPP1R3D	Protein phosphatase 1 regulatory subunit 3D
APOC2	APOC2	Apolipoprotein C-II
CI014	LINC00032	Putative uncharacterized protein encoded by LINC00032
COT1	NR2F1	COUP transcription factor 1
NCAM1	NCAM1	Neural cell adhesion molecule 1
TRI27	TRIM27	Zinc finger protein RFP
RAG1	RAG1	V(D)J recombination-activating protein 1
ZN37A	ZNF37A	Zinc finger protein 37A
AATC	GOT1	Aspartate aminotransferase, cytoplasmic
ACM3	CHRM3	Muscarinic acetylcholine receptor M3
NTF3	NTF3	Neurotrophin-3
ACES	ACHE	Acetylcholinesterase
CCND2	CCND2	G1/S-specific cyclin-D2
GBRA3	GABRA3	Gamma-aminobutyric acid receptor subunit alpha-3
IL13	IL13	Interleukin-13
PE2R4	PTGER4	Prostaglandin E2 receptor EP4 subtype
GRM5	GRM5	Metabotropic glutamate receptor 5
ATP68	ATP5MJ	ATP synthase subunit ATP5MJ, mitochondrial
CCL8	CCL8	C-C motif chemokine 8
FABP5	FABP5	Fatty acid-binding protein 5
CX6A2	COX6A2	Cytochrome c oxidase subunit 6A2, mitochondrial
GUC2D	GUCY2D	Retinal guanylyl cyclase 1
KPCD1	PRKD1	Serine/threonine-protein kinase D1
CYH1	CYTH1	Cytohesin-1
TENXA	TNXA	Putative tenascin-XA
GEN	GEN1	Flap endonuclease GEN homolog 1
SWI5	SWI5	DNA repair protein SWI5 homolog
ADPRM	ADPRM	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase
PTHB1	BBS9	Protein PTHB1
RIPL1	RILPL1	RILP-like protein 1
DOC11	DOCK11	Dedicator of cytokinesis protein 11
SYDE2	SYDE2	Rho GTPase-activating protein SYDE2
CTRB2	CTRB2	Chymotrypsinogen B2
PMF1	PMF1	Polyamine-modulated factor 1
CLC2A	CLEC2A	C-type lectin domain family 2 member A
S49A3	SLC49A3	Solute carrier family 49 member A3
SEP14	SEPTIN14	Septin-14
UBE3B	UBE3B	Ubiquitin-protein ligase E3B
RALYL	RALYL	RNA-binding Raly-like protein
R4RL1	RTN4RL1	Reticulon-4 receptor-like 1
THOC4	ALYREF	THO complex subunit 4
PDZD9	PDZD9	PDZ domain-containing protein 9
CLASR	CLASRP	CLK4-associating serine/arginine rich protein
AN36B	ANKRD36B	Ankyrin repeat domain-containing protein 36B
D2HDH	D2HGDH	D-2-hydroxyglutarate dehydrogenase, mitochondrial
RN152	RNF152	E3 ubiquitin-protein ligase RNF152
O14K1	OR14K1	Olfactory receptor 14K1
G45IP	GADD45GIP1	Growth arrest and DNA damage-inducible proteins-interacting protein 1
ZN461	ZNF461	Zinc finger protein 461
FIBIN	FIBIN	Fin bud initiation factor homolog
ARRD2	ARRDC2	Arrestin domain-containing protein 2
RN139	RNF139	E3 ubiquitin-protein ligase RNF139
ASM3A	SMPDL3A	Acid sphingomyelinase-like phosphodiesterase 3a
GCN1	GCN1	eIF-2-alpha kinase activator GCN1
HPS3	HPS3	Hermansky-Pudlak syndrome 3 protein
S45A3	SLC45A3	Solute carrier family 45 member 3
SNX27	SNX27	Sorting nexin-27
CX058	CXorf58	Putative uncharacterized protein CXorf58
FCRL4	FCRL4	Fc receptor-like protein 4
LYST	LYST	Lysosomal-trafficking regulator
COCA1	COL12A1	Collagen alpha-1(XII) chain
EPAS1	EPAS1	Endothelial PAS domain-containing protein 1
RCAF1	RAB5IF	Respirasome Complex Assembly Factor 1
C1QT6	C1QTNF6	Complement C1q tumor necrosis factor-related protein 6
HEMGN	HEMGN	Hemogen
NUF2	NUF2	Kinetochore protein Nuf2
PBOV1	PBOV1	Prostate and breast cancer overexpressed gene 1 protein
UBTD1	UBTD1	Ubiquitin domain-containing protein 1
GBB4	GNB4	Guanine nucleotide-binding protein subunit beta-4
SACA1	SPACA1	Sperm acrosome membrane-associated protein 1
OSTC	OSTC	Oligosaccharyltransferase complex subunit
CT141	C20orf141	Uncharacterized protein C20orf141
ANO10	ANO10	Anoctamin-10
OXSM	OXSM	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial
DUS2L	DUS2	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like
KLH28	KLHL28	Kelch-like protein 28
HAOX2	HAO2	Hydroxyacid oxidase 2
TMOD4	TMOD4	Tropomodulin-4
CC167	CCDC167	Coiled-coil domain-containing protein 167
C2D2A	CC2D2A	Coiled-coil and C2 domain-containing protein 2A
ZN777	ZNF777	Zinc finger protein 777
NDRG2	NDRG2	Protein NDRG2
ABEC2	APOBEC2	C->U-editing enzyme APOBEC-2
VDAC3	VDAC3	Voltage-dependent anion-selective channel protein 3
ASTER	WDR83OS	PAT complex subunit Asterix
TGRM1	TOGARAM1	TOG array regulator of axonemal microtubules protein 1
PCDG1	PCDHGA1	Protocadherin gamma-A1
A0A075B704	TRAJ57	T cell receptor alpha joining 57 (Fragment)
TJB22	TRBJ2-2	T cell receptor beta joining 2-2
TVB42	TRBV4-2	T cell receptor beta variable 4-2
S22AN	SLC22A23	Solute carrier family 22 member 23
MA13P	MAGEA13P	Putative MAGE domain-containing protein MAGEA13P
GNAT3	GNAT3	Guanine nucleotide-binding protein G(t) subunit alpha-3
F220P	FAM220BP	Putative protein FAM220BP
TLR4	TLR4	Toll-like receptor 4
CE290	CEP290	Centrosomal protein of 290 kDa
OGT1	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
3BP5	SH3BP5	SH3 domain-binding protein 5
DTNB	DTNB	Dystrobrevin beta
SPI2	SERPINI2	Serpin I2
TOX4	TOX4	TOX high mobility group box family member 4
UBP19	USP19	Ubiquitin carboxyl-terminal hydrolase 19
NXPH2	NXPH2	Neurexophilin-2
HV169	IGHV1-69	Immunoglobulin heavy variable 1-69
HMGN1	HMGN1	Non-histone chromosomal protein HMG-14
HEPS	HPN	Serine protease hepsin
CO8B	C8B	Complement component C8 beta chain
CASK	CSN3	Kappa-casein
CD3E	CD3E	T-cell surface glycoprotein CD3 epsilon chain
NUD17	NUDT17	Nucleoside diphosphate-linked moiety X motif 17
Z286B	ZNF286B	Putative zinc finger protein 286B
GG12F	GAGE12F	G antigen 12F
FABPI	FABP2	Fatty acid-binding protein, intestinal
ZSC20	ZSCAN20	Zinc finger and SCAN domain-containing protein 20
ROA2	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1
PSA4	PSMA4	Proteasome subunit alpha type-4
IQGA1	IQGAP1	Ras GTPase-activating-like protein IQGAP1
OR3A1	OR3A1	Olfactory receptor 3A1
INAR2	IFNAR2	Interferon alpha/beta receptor 2
RB27A	RAB27A	Ras-related protein Rab-27A
BAP31	BCAP31	B-cell receptor-associated protein 31
CCR3	CCR3	C-C chemokine receptor type 3
ACLY	ACLY	ATP-citrate synthase
OR2B8	OR2B8P	Putative olfactory receptor 2B8
ENK11	ERVK11-1	Putative endogenous retrovirus group K member 11-1 Env polyprotein
HBG2	HBG2	Hemoglobin subunit gamma-2
KC1G2	CSNK1G2	Casein kinase I isoform gamma-2
BEX3	BEX3	Protein BEX3
ROR1	ROR1	Inactive tyrosine-protein kinase transmembrane receptor ROR1
MBTD1	MBTD1	MBT domain-containing protein 1
ACHD	CHRND	Acetylcholine receptor subunit delta
HSP7E	HSPA14	Heat shock 70 kDa protein 14
KS6A2	RPS6KA2	Ribosomal protein S6 kinase alpha-2
SURF2	SURF2	Surfeit locus protein 2
EX3L2	EXOC3L2	Exocyst complex component 3-like protein 2
RHG21	ARHGAP21	Rho GTPase-activating protein 21
ELP2	ELP2	Elongator complex protein 2
GOLM2	GOLM2	Protein GOLM2
TTC37	TTC37	Tetratricopeptide repeat protein 37
FOXR1	FOXR1	Forkhead box protein R1
Q6YL49		Uncharacterized protein
KAT3	KYAT3	Kynurenine--oxoglutarate transaminase 3
PR23C	PRR23C	Proline-rich protein 23C
TMPS7	TMPRSS7	Transmembrane protease serine 7
PBIR2	PABIR2	PABIR family member 2
PURA1	ADSS1	Adenylosuccinate synthetase isozyme 1
AGGF1	AGGF1	Angiogenic factor with G patch and FHA domains 1
PHTF2	PHTF2	Protein PHTF2
GTPB8	GTPBP8	GTP-binding protein 8
PP4P2	PIP4P2	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase
PO5F2	POU5F2	POU domain, class 5, transcription factor 2
ZN680	ZNF680	Zinc finger protein 680
GEMI5	GEMIN5	Gem-associated protein 5
S22AH	SLC22A17	Solute carrier family 22 member 17
TM239	TMEM239	Transmembrane protein 239
IBPL1	IGFBPL1	Insulin-like growth factor-binding protein-like 1
AUTS2	AUTS2	Autism susceptibility gene 2 protein
RNF34	RNF34	E3 ubiquitin-protein ligase RNF34
LDAF1	TMEM159	Lipid droplet assembly factor 1
FA89A	FAM89A	Protein FAM89A
MARK4	MARK4	MAP/microtubule affinity-regulating kinase 4
TREF1	TRERF1	Transcriptional-regulating factor 1
AGAP2	AGAP2	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2
EPYC	EPYC	Epiphycan
TS101	TSG101	Tumor susceptibility gene 101 protein
SLF1	SLF1	SMC5-SMC6 complex localization factor protein 1
UPK3B	UPK3B	Uroplakin-3b
CADM1	CADM1	Cell adhesion molecule 1
INT2	INTS2	Integrator complex subunit 2
REN3A	UPF3A	Regulator of nonsense transcripts 3A
RSPH9	RSPH9	Radial spoke head protein 9 homolog
TASL	TASL	TLR adapter interacting with SLC15A4 on the lysosome
PCD18	PCDH18	Protocadherin-18
RBM22	RBM22	Pre-mRNA-splicing factor RBM22
GSKIP	GSKIP	GSK3B-interacting protein
C5AR2	C5AR2	C5a anaphylatoxin chemotactic receptor 2
ABCD2	ABCD2	ATP-binding cassette sub-family D member 2
O14J1	OR14J1	Olfactory receptor 14J1
RWD2A	RWDD2A	RWD domain-containing protein 2A
ATS6	ADAMTS6	A disintegrin and metalloproteinase with thrombospondin motifs 6
CBLC	CBLC	E3 ubiquitin-protein ligase CBL-C
COG5	COG5	Conserved oligomeric Golgi complex subunit 5
AP4E1	AP4E1	AP-4 complex subunit epsilon-1
CHTOP	CHTOP	Chromatin target of PRMT1 protein
FA32A	FAM32A	Protein FAM32A
ICOS	ICOS	Inducible T-cell costimulator
MORC2	MORC2	ATPase MORC2
TVAL1	TRAV12-1	T cell receptor alpha variable 12-1
A0A0G2JN53		Uncharacterized protein
TJB14	TRBJ1-4	T cell receptor beta joining 1-4
TJB15	TRBJ1-5	T cell receptor beta joining 1-5
TVB58	TRBV5-8	T cell receptor beta variable 5-8
S66AL	SLC66A1L	Putative uncharacterized protein SLC66A1L
MEG11	MEGF11	Multiple epidermal growth factor-like domains protein 11
CDHR4	CDHR4	Cadherin-related family member 4
CEA18	CEACAM18	Carcinoembryonic antigen-related cell adhesion molecule 18
LEUTX	LEUTX	Paired-like homeodomain transcription factor LEUTX
FM25A	FAM25A	Protein FAM25A
GRM8	GRM8	Metabotropic glutamate receptor 8
LFTY2	LEFTY2	Left-right determination factor 2
FPGT	FPGT	Fucose-1-phosphate guanylyltransferase
HAT1	HAT1	Histone acetyltransferase type B catalytic subunit
MOT7	SLC16A6	Monocarboxylate transporter 7
COPT2	SLC31A2	Probable low affinity copper uptake protein 2
E41L2	EPB41L2	Band 4.1-like protein 2
CHM2A	CHMP2A	Charged multivesicular body protein 2a
CALU	CALU	Calumenin
TPST1	TPST1	Protein-tyrosine sulfotransferase 1
PIAS1	PIAS1	E3 SUMO-protein ligase PIAS1
KDM4B	KDM4B	Lysine-specific demethylase 4B
TNKS1	TNKS	Poly [ADP-ribose] polymerase tankyrase-1
CD2	CD2	T-cell surface antigen CD2
U17L7	USP17L7	Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 7
F228B	FAM228B	Protein FAM228B
KCRB	CKB	Creatine kinase B-type
TAL1	TAL1	T-cell acute lymphocytic leukemia protein 1
AOFA	MAOA	Amine oxidase [flavin-containing] A
MK	MDK	Midkine
G0S2	G0S2	G0/G1 switch protein 2
RL4	RPL4	60S ribosomal protein L4
OPRK	OPRK1	Kappa-type opioid receptor
VEGFC	VEGFC	Vascular endothelial growth factor C
MMP15	MMP15	Matrix metalloproteinase-15
CDR1	CDR1	Cerebellar degeneration-related antigen 1
TF2AA	GTF2A1	Transcription initiation factor IIA subunit 1
PLK1	PLK1	Serine/threonine-protein kinase PLK1
GBG2	GNG2	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2
GPR85	GPR85	Probable G-protein coupled receptor 85
IFT88	IFT88	Intraflagellar transport protein 88 homolog
SNX1	SNX1	Sorting nexin-1
KCNC3	KCNC3	Potassium voltage-gated channel subfamily C member 3
ZN266	ZNF266	Zinc finger protein 266
K1H1	KRT31	Keratin, type I cuticular Ha1
CH3L2	CHI3L2	Chitinase-3-like protein 2
CSPP1	CSPP1	Centrosome and spindle pole-associated protein 1
CL16A	CLEC16A	Protein CLEC16A
RM51	MRPL51	39S ribosomal protein L51, mitochondrial
ZN789	ZNF789	Zinc finger protein 789
CAF17	IBA57	Putative transferase CAF17, mitochondrial
GPC6A	GPRC6A	G-protein coupled receptor family C group 6 member A
CC181	CCDC181	Coiled-coil domain-containing protein 181
HAUS3	HAUS3	HAUS augmin-like complex subunit 3
RN19B	RNF19B	E3 ubiquitin-protein ligase RNF19B
XIRP1	XIRP1	Xin actin-binding repeat-containing protein 1
HOGA1	HOGA1	4-hydroxy-2-oxoglutarate aldolase, mitochondrial
RHPN2	RHPN2	Rhophilin-2
MMAA	MMAA	Methylmalonic aciduria type A protein, mitochondrial
MIRO2	RHOT2	Mitochondrial Rho GTPase 2
CC170	CCDC170	Coiled-coil domain-containing protein 170
BBS5	BBS5	Bardet-Biedl syndrome 5 protein
ZC3H8	ZC3H8	Zinc finger CCCH domain-containing protein 8
STAS1	ST20-AS1	Putative uncharacterized protein ST20-AS1
